"","year","month","neighbourhood","num_reviews","date"
"196","2015","10","Centrum-Oost",450,2015-10-01
"197","2015","10","Centrum-West",590,2015-10-01
"198","2015","10","De Aker - Nieuw Sloten",14,2015-10-01
"199","2015","10","De Baarsjes - Oud-West",577,2015-10-01
"200","2015","10","De Pijp - Rivierenbuurt",447,2015-10-01
"201","2015","10","Gaasperdam - Driemond",30,2015-10-01
"202","2015","10","Geuzenveld - Slotermeer",18,2015-10-01
"203","2015","10","IJburg - Zeeburgereiland",56,2015-10-01
"204","2015","10","Noord-Oost",54,2015-10-01
"205","2015","10","Noord-West",75,2015-10-01
"206","2015","10","Oostelijk Havengebied - Indische Buurt",149,2015-10-01
"207","2015","10","Osdorp",23,2015-10-01
"208","2015","10","Oud-Noord",81,2015-10-01
"209","2015","10","Oud-Oost",162,2015-10-01
"210","2015","10","Slotervaart",63,2015-10-01
"211","2015","10","Watergraafsmeer",84,2015-10-01
"212","2015","10","Westerpark",322,2015-10-01
"213","2015","10","Zuid",225,2015-10-01
"214","2015","11","Bijlmer-Centrum",6,2015-11-01
"215","2015","11","Bijlmer-Oost",18,2015-11-01
"216","2015","11","Bos en Lommer",92,2015-11-01
"217","2015","11","Buitenveldert - Zuidas",16,2015-11-01
"218","2015","11","Centrum-Oost",370,2015-11-01
"219","2015","11","Centrum-West",446,2015-11-01
"220","2015","11","De Aker - Nieuw Sloten",10,2015-11-01
"221","2015","11","De Baarsjes - Oud-West",417,2015-11-01
"222","2015","11","De Pijp - Rivierenbuurt",307,2015-11-01
"223","2015","11","Gaasperdam - Driemond",11,2015-11-01
"224","2015","11","Geuzenveld - Slotermeer",7,2015-11-01
"225","2015","11","IJburg - Zeeburgereiland",36,2015-11-01
"226","2015","11","Noord-Oost",26,2015-11-01
"227","2015","11","Noord-West",38,2015-11-01
"228","2015","11","Oostelijk Havengebied - Indische Buurt",109,2015-11-01
"229","2015","11","Osdorp",10,2015-11-01
"230","2015","11","Oud-Noord",82,2015-11-01
"231","2015","11","Oud-Oost",131,2015-11-01
"232","2015","11","Slotervaart",30,2015-11-01
"233","2015","11","Watergraafsmeer",59,2015-11-01
"234","2015","11","Westerpark",238,2015-11-01
"235","2015","11","Zuid",128,2015-11-01
"236","2015","12","Bijlmer-Centrum",3,2015-12-01
"237","2015","12","Bijlmer-Oost",15,2015-12-01
"238","2015","12","Bos en Lommer",74,2015-12-01
"239","2015","12","Buitenveldert - Zuidas",8,2015-12-01
"240","2015","12","Centrum-Oost",303,2015-12-01
"241","2015","12","Centrum-West",417,2015-12-01
"242","2015","12","De Aker - Nieuw Sloten",11,2015-12-01
"243","2015","12","De Baarsjes - Oud-West",343,2015-12-01
"244","2015","12","De Pijp - Rivierenbuurt",255,2015-12-01
"245","2015","12","Gaasperdam - Driemond",10,2015-12-01
"246","2015","12","Geuzenveld - Slotermeer",8,2015-12-01
"247","2015","12","IJburg - Zeeburgereiland",49,2015-12-01
"248","2015","12","Noord-Oost",11,2015-12-01
"249","2015","12","Noord-West",27,2015-12-01
"250","2015","12","Oostelijk Havengebied - Indische Buurt",86,2015-12-01
"251","2015","12","Osdorp",16,2015-12-01
"252","2015","12","Oud-Noord",77,2015-12-01
"253","2015","12","Oud-Oost",106,2015-12-01
